% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770822678.5181 0.000 0.000 0.0000 -2.9433
1770822678.5224 0.000 0.000 0.0000 -2.9440
1770822678.5274 0.000 0.000 0.0000 -2.9449
1770822678.5323 0.000 0.000 0.0000 -2.9456
1770822678.5375 0.000 0.000 0.0000 -2.9464
1770822678.5428 0.000 0.000 0.0000 -2.9471
1770822678.5476 0.000 0.000 0.0000 -2.9479
1770822678.5529 0.000 0.000 0.0000 -2.9485
1770822678.5570 0.000 0.000 0.0000 -2.9493
1770822678.5623 0.000 0.000 0.0012 -2.9499
1770822678.5678 0.001 0.000 0.0023 -2.9501
1770822678.5721 0.001 0.000 0.0023 -2.9503
1770822678.5783 0.002 0.000 0.0046 -2.9513
1770822678.5823 0.002 0.000 0.0058 -2.9522
1770822678.5876 0.003 0.000 0.0058 -2.9543
1770822678.5932 0.003 0.000 0.0058 -2.9561
1770822678.5981 0.004 0.000 0.0046 -2.9584
1770822678.6020 0.005 0.000 0.0035 -2.9600
1770822678.6070 0.005 0.000 0.0035 -2.9624
1770822678.6122 0.006 0.000 0.0023 -2.9643
1770822678.6175 0.006 0.000 0.0023 -2.9675
1770822678.6226 0.007 0.000 0.0023 -2.9702
1770822678.6279 0.008 0.000 0.0035 -2.9745
1770822678.6330 0.008 0.000 0.0035 -2.9776
1770822678.6380 0.009 0.000 0.0035 -2.9824
1770822678.6422 0.010 0.000 0.0046 -2.9857
1770822678.6481 0.011 0.000 0.0035 -2.9897
1770822678.6525 0.012 0.000 0.0035 -2.9915
1770822678.6573 0.013 0.000 0.0023 -2.9925
1770822678.6625 0.014 0.000 0.0023 -2.9917
1770822678.6680 0.014 0.000 0.0023 -2.9900
1770822678.6732 0.015 0.000 0.0023 -2.9888
1770822678.6771 0.015 0.000 0.0012 -2.9868
1770822678.6822 0.016 0.000 0.0012 -2.9853
1770822678.6874 0.017 0.000 -0.0000 -2.9831
1770822678.6924 0.018 0.000 -0.0000 -2.9818
1770822678.6979 0.019 0.000 -0.0000 -2.9788
1770822678.7021 0.020 0.000 -0.0000 -2.9772
1770822678.7071 0.022 0.000 -0.0012 -2.9753
1770822678.7124 0.023 0.000 -0.0000 -2.9743
1770822678.7171 0.024 0.000 -0.0000 -2.9726
1770822678.7229 0.025 0.000 -0.0000 -2.9716
1770822678.7271 0.027 0.000 -0.0000 -2.9700
1770822678.7331 0.028 0.000 -0.0012 -2.9689
1770822678.7375 0.029 0.000 -0.0023 -2.9675
1770822678.7423 0.030 0.000 -0.0012 -2.9671
1770822678.7480 0.031 0.000 -0.0023 -2.9671
1770822678.7532 0.032 0.000 -0.0023 -2.9674
1770822678.7582 0.034 0.000 -0.0035 -2.9682
1770822678.7627 0.035 0.000 -0.0035 -2.9687
1770822678.7677 0.036 0.000 -0.0046 -2.9696
1770822678.7727 0.037 0.000 -0.0046 -2.9703
1770822678.7778 0.039 0.000 -0.0046 -2.9716
1770822678.7826 0.040 0.000 -0.0046 -2.9726
1770822678.7879 0.041 0.000 -0.0046 -2.9745
1770822678.7932 0.042 0.000 -0.0035 -2.9760
1770822678.7976 0.043 0.000 -0.0046 -2.9785
1770822678.8051 0.044 0.000 -0.0035 -2.9802
1770822678.8071 0.046 -0.000 -0.0035 -2.9824
1770822678.8125 0.047 -0.000 -0.0035 -2.9834
1770822678.8175 0.048 -0.000 -0.0035 -2.9844
1770822678.8227 0.049 -0.000 -0.0035 -2.9849
1770822678.8275 0.051 -0.000 -0.0023 -2.9852
1770822678.8323 0.052 -0.000 -0.0023 -2.9856
1770822678.8379 0.053 -0.000 -0.0023 -2.9868
1770822678.8421 0.054 -0.000 -0.0023 -2.9879
1770822678.8472 0.056 -0.000 -0.0023 -2.9896
1770822678.8521 0.057 -0.000 -0.0023 -2.9909
1770822678.8575 0.058 -0.000 -0.0023 -2.9929
1770822678.8626 0.059 -0.000 -0.0012 -2.9943
1770822678.8671 0.061 -0.000 -0.0012 -2.9965
1770822678.8723 0.062 -0.000 -0.0000 -2.9982
1770822678.8782 0.063 -0.000 -0.0012 -3.0010
1770822678.8823 0.064 -0.000 -0.0000 -3.0029
1770822678.8879 0.066 -0.000 -0.0000 -3.0055
1770822678.8923 0.066 -0.000 -0.0000 -3.0069
1770822678.8976 0.068 -0.000 -0.0000 -3.0090
1770822678.9026 0.069 -0.000 -0.0000 -3.0106
1770822678.9076 0.071 -0.000 0.0012 -3.0137
1770822678.9129 0.072 -0.000 0.0023 -3.0161
1770822678.9179 0.073 -0.000 0.0023 -3.0202
1770822678.9223 0.075 -0.000 0.0035 -3.0243
1770822678.9274 0.076 -0.000 0.0035 -3.0270
1770822678.9327 0.077 -0.000 0.0058 -3.0313
1770822678.9377 0.078 -0.000 0.0058 -3.0343
1770822678.9427 0.080 -0.000 0.0081 -3.0389
1770822678.9477 0.081 0.000 0.0093 -3.0419
1770822678.9532 0.082 0.000 0.0104 -3.0463
1770822678.9578 0.083 0.000 0.0104 -3.0489
1770822678.9625 0.085 0.000 0.0127 -3.0526
1770822678.9673 0.086 0.000 0.0127 -3.0548
1770822678.9727 0.088 0.000 0.0139 -3.0577
1770822678.9785 0.089 0.000 0.0150 -3.0592
1770822678.9830 0.090 0.000 0.0150 -3.0611
1770822678.9895 0.091 0.000 0.0150 -3.0623
1770822678.9925 0.093 0.000 0.0150 -3.0634
1770822678.9985 0.094 0.000 0.0150 -3.0638
1770822679.0032 0.096 0.000 0.0150 -3.0642
1770822679.0079 0.097 0.000 0.0150 -3.0645
1770822679.0128 0.098 0.000 0.0162 -3.0641
1770822679.0180 0.099 0.000 0.0162 -3.0638
1770822679.0233 0.101 0.000 0.0162 -3.0628
1770822679.0280 0.102 0.000 0.0173 -3.0618
1770822679.0331 0.104 0.000 0.0185 -3.0597
1770822679.0385 0.105 0.000 0.0197 -3.0581
1770822679.0433 0.107 0.000 0.0220 -3.0550
1770822679.0480 0.108 0.000 0.0220 -3.0526
1770822679.0528 0.109 0.000 0.0231 -3.0484
1770822679.0583 0.110 0.000 0.0231 -3.0449
1770822679.0638 0.112 0.001 0.0231 -3.0389
1770822679.0679 0.113 0.001 0.0231 -3.0343
1770822679.0737 0.115 0.001 0.0231 -3.0269
1770822679.0785 0.116 0.001 0.0231 -3.0215
1770822679.0836 0.118 0.001 0.0231 -3.0130
1770822679.0887 0.119 0.001 0.0231 -3.0070
1770822679.0936 0.120 0.001 0.0231 -2.9975
1770822679.0986 0.122 0.001 0.0220 -2.9908
1770822679.1031 0.123 0.001 0.0220 -2.9803
1770822679.1087 0.124 0.001 0.0220 -2.9734
1770822679.1137 0.126 0.001 0.0197 -2.9644
1770822679.1188 0.126 0.001 0.0173 -2.9597
1770822679.1230 0.128 0.001 0.0162 -2.9543
1770822679.1282 0.128 0.001 0.0150 -2.9516
1770822679.1334 0.130 0.001 0.0139 -2.9484
1770822679.1384 0.131 0.001 0.0127 -2.9464
1770822679.1433 0.133 0.001 0.0139 -2.9429
1770822679.1490 0.134 0.001 0.0127 -2.9394
1770822679.1538 0.136 0.001 0.0150 -2.9339
1770822679.1581 0.137 0.001 0.0150 -2.9306
1770822679.1635 0.139 0.001 0.0173 -2.9259
1770822679.1683 0.140 0.001 0.0185 -2.9236
1770822679.1734 0.142 0.001 0.0197 -2.9206
1770822679.1780 0.143 0.001 0.0208 -2.9187
1770822679.1831 0.144 0.001 0.0208 -2.9163
1770822679.1887 0.146 0.001 0.0220 -2.9145
1770822679.1936 0.147 0.001 0.0220 -2.9125
1770822679.1981 0.148 0.001 0.0220 -2.9117
1770822679.2037 0.150 0.001 0.0220 -2.9116
1770822679.2089 0.151 0.001 0.0231 -2.9121
1770822679.2130 0.152 0.001 0.0231 -2.9174
1770822679.2187 0.153 0.001 0.0231 -2.9217
1770822679.2236 0.155 0.001 0.0231 -2.9257
1770822679.2280 0.156 0.001 0.0231 -2.9275
1770822679.2339 0.158 0.001 0.0220 -2.9300
1770822679.2380 0.159 0.001 0.0220 -2.9323
1770822679.2431 0.160 0.001 0.0208 -2.9359
1770822679.2481 0.161 0.001 0.0220 -2.9387
1770822679.2536 0.163 0.002 0.0208 -2.9435
1770822679.2588 0.163 0.002 0.0197 -2.9484
1770822679.2632 0.164 0.002 0.0185 -2.9562
1770822679.2686 0.165 0.002 0.0173 -2.9611
1770822679.2737 0.167 0.002 0.0162 -2.9683
1770822679.2780 0.168 0.002 0.0162 -2.9727
1770822679.2838 0.169 0.002 0.0162 -2.9784
1770822679.2880 0.170 0.002 0.0162 -2.9817
1770822679.2931 0.172 0.002 0.0173 -2.9862
1770822679.2986 0.173 0.002 0.0185 -2.9888
1770822679.3034 0.175 0.002 0.0185 -2.9924
1770822679.3084 0.176 0.002 0.0197 -2.9948
1770822679.3139 0.177 0.002 0.0185 -2.9983
1770822679.3187 0.178 0.002 0.0173 -3.0008
1770822679.3240 0.179 0.002 0.0150 -3.0047
1770822679.3283 0.180 0.002 0.0139 -3.0073
1770822679.3330 0.181 0.002 0.0139 -3.0110
1770822679.3387 0.182 0.002 0.0139 -3.0133
1770822679.3432 0.184 0.002 0.0139 -3.0164
1770822679.3490 0.185 0.002 0.0139 -3.0181
1770822679.3538 0.187 0.002 0.0150 -3.0201
1770822679.3580 0.188 0.002 0.0162 -3.0213
1770822679.3634 0.189 0.002 0.0173 -3.0230
1770822679.3683 0.190 0.002 0.0173 -3.0240
1770822679.3738 0.192 0.002 0.0162 -3.0256
1770822679.3790 0.193 0.002 0.0173 -3.0268
1770822679.3835 0.194 0.002 0.0173 -3.0301
1770822679.3881 0.195 0.002 0.0173 -3.0318
1770822679.3935 0.197 0.002 0.0173 -3.0329
1770822679.3982 0.198 0.002 0.0162 -3.0334
1770822679.4033 0.199 0.002 0.0185 -3.0339
1770822679.4082 0.201 0.002 0.0185 -3.0344
1770822679.4134 0.202 0.002 0.0197 -3.0347
1770822679.4189 0.203 0.002 0.0208 -3.0348
1770822679.4241 0.204 0.002 0.0220 -3.0355
1770822679.4284 0.205 0.002 0.0220 -3.0364
1770822679.4338 0.207 0.002 0.0220 -3.0381
1770822679.4386 0.208 0.002 0.0220 -3.0393
1770822679.4440 0.210 0.002 0.0220 -3.0409
1770822679.4490 0.211 0.002 0.0220 -3.0420
1770822679.4539 0.212 0.002 0.0197 -3.0433
1770822679.4587 0.213 0.002 0.0197 -3.0440
1770822679.4636 0.215 0.002 0.0197 -3.0448
1770822679.4682 0.216 0.002 0.0197 -3.0452
1770822679.4732 0.218 0.003 0.0185 -3.0452
1770822679.4784 0.219 0.003 0.0173 -3.0451
1770822679.4834 0.220 0.003 0.0162 -3.0446
1770822679.4882 0.222 0.003 0.0162 -3.0440
1770822679.4937 0.223 0.003 0.0150 -3.0429
1770822679.4989 0.224 0.003 0.0139 -3.0422
1770822679.5040 0.226 0.003 0.0127 -3.0414
1770822679.5090 0.227 0.003 0.0127 -3.0409
1770822679.5141 0.229 0.003 0.0116 -3.0405
1770822679.5183 0.230 0.003 0.0116 -3.0402
1770822679.5235 0.232 0.003 0.0104 -3.0399
1770822679.5289 0.233 0.003 0.0104 -3.0400
1770822679.5337 0.234 0.003 0.0093 -3.0412
1770822679.5389 0.235 0.003 0.0093 -3.0422
1770822679.5436 0.237 0.003 0.0093 -3.0437
1770822679.5489 0.238 0.003 0.0081 -3.0448
1770822679.5531 0.239 0.003 0.0069 -3.0469
1770822679.5582 0.240 0.003 0.0069 -3.0482
1770822679.5637 0.242 0.003 0.0069 -3.0503
1770822679.5685 0.243 0.003 0.0069 -3.0518
1770822679.5735 0.245 0.003 0.0058 -3.0542
1770822679.5782 0.246 0.003 0.0058 -3.0559
1770822679.5840 0.247 0.003 0.0058 -3.0586
1770822679.5892 0.248 0.003 0.0058 -3.0606
1770822679.5932 0.250 0.003 0.0058 -3.0636
1770822679.5991 0.251 0.003 0.0046 -3.0657
1770822679.6034 0.252 0.003 0.0046 -3.0687
1770822679.6084 0.253 0.003 0.0046 -3.0708
1770822679.6141 0.255 0.003 0.0035 -3.0739
1770822679.6181 0.256 0.003 0.0035 -3.0760
1770822679.6235 0.257 0.003 0.0046 -3.0790
1770822679.6291 0.258 0.003 0.0035 -3.0810
1770822679.6343 0.260 0.003 0.0035 -3.0837
1770822679.6387 0.261 0.003 0.0035 -3.0854
1770822679.6436 0.262 0.003 0.0035 -3.0877
1770822679.6492 0.264 0.003 0.0035 -3.0896
1770822679.6540 0.265 0.003 0.0035 -3.0908
1770822679.6588 0.267 0.003 0.0035 -3.0924
1770822679.6638 0.268 0.003 0.0023 -3.0932
1770822679.6691 0.269 0.003 0.0035 -3.0941
1770822679.6736 0.270 0.003 0.0023 -3.0946
1770822679.6784 0.272 0.003 0.0023 -3.0951
1770822679.6835 0.273 0.003 0.0023 -3.0954
1770822679.6896 0.274 0.003 0.0012 -3.0957
1770822679.6945 0.275 0.003 0.0023 -3.0956
1770822679.6998 0.277 0.003 0.0023 -3.0952
1770822679.7042 0.278 0.003 0.0012 -3.0948
1770822679.7095 0.279 0.003 0.0023 -3.0938
1770822679.7144 0.280 0.003 0.0023 -3.0930
1770822679.7193 0.282 0.003 0.0023 -3.0917
1770822679.7247 0.283 0.003 0.0023 -3.0909
1770822679.7296 0.284 0.003 0.0023 -3.0896
1770822679.7347 0.285 0.003 0.0023 -3.0888
1770822679.7396 0.287 0.003 0.0023 -3.0878
1770822679.7446 0.288 0.003 0.0023 -3.0873
1770822679.7497 0.289 0.003 0.0023 -3.0866
1770822679.7547 0.290 0.003 0.0023 -3.0863
1770822679.7599 0.292 0.003 0.0023 -3.0859
1770822679.7648 0.293 0.003 0.0012 -3.0857
1770822679.7690 0.294 0.003 0.0023 -3.0855
1770822679.7739 0.295 0.003 0.0023 -3.0855
1770822679.7793 0.297 0.003 0.0012 -3.0857
1770822679.7842 0.298 0.003 0.0023 -3.0860
1770822679.7891 0.299 0.003 0.0023 -3.0867
1770822679.7946 0.300 0.003 0.0023 -3.0873
1770822679.7989 0.302 0.003 0.0023 -3.0881
1770822679.8049 0.303 0.003 0.0023 -3.0887
1770822679.8099 0.304 0.003 0.0023 -3.0895
1770822679.8142 0.305 0.003 0.0023 -3.0901
1770822679.8198 0.307 0.003 0.0012 -3.0910
1770822679.8239 0.308 0.003 0.0023 -3.0916
1770822679.8296 0.309 0.003 0.0023 -3.0926
1770822679.8346 0.310 0.003 0.0023 -3.0934
1770822679.8397 0.312 0.003 0.0023 -3.0947
1770822679.8441 0.313 0.003 0.0023 -3.0956
1770822679.8491 0.314 0.003 0.0012 -3.0970
1770822679.8545 0.315 0.003 0.0023 -3.0979
1770822679.8598 0.317 0.003 0.0023 -3.0992
1770822679.8643 0.318 0.003 0.0023 -3.1001
1770822679.8696 0.319 0.003 0.0023 -3.1013
1770822679.8739 0.320 0.003 0.0023 -3.1021
1770822679.8791 0.322 0.003 0.0023 -3.1032
1770822679.8839 0.323 0.003 0.0023 -3.1038
1770822679.8894 0.324 0.003 0.0012 -3.1046
1770822679.8941 0.325 0.003 0.0023 -3.1051
1770822679.8994 0.327 0.003 0.0023 -3.1055
1770822679.9042 0.328 0.003 0.0012 -3.1057
1770822679.9093 0.329 0.003 0.0012 -3.1059
1770822679.9147 0.330 0.003 0.0023 -3.1059
1770822679.9196 0.332 0.003 0.0012 -3.1056
1770822679.9241 0.333 0.003 0.0023 -3.1054
1770822679.9299 0.334 0.003 0.0023 -3.1049
1770822679.9339 0.335 0.003 0.0023 -3.1045
1770822679.9391 0.337 0.003 0.0023 -3.1037
1770822679.9446 0.338 0.003 0.0023 -3.1031
1770822679.9492 0.339 0.003 0.0023 -3.1020
1770822679.9544 0.340 0.003 0.0023 -3.1011
1770822679.9594 0.342 0.003 0.0023 -3.0996
1770822679.9647 0.343 0.003 0.0023 -3.0984
1770822679.9697 0.344 0.003 0.0023 -3.0965
1770822679.9741 0.345 0.003 0.0012 -3.0951
1770822679.9798 0.347 0.003 0.0023 -3.0930
1770822679.9843 0.348 0.003 0.0023 -3.0916
1770822679.9895 0.349 0.003 0.0012 -3.0894
1770822679.9942 0.350 0.003 0.0023 -3.0880
1770822679.9990 0.352 0.003 0.0023 -3.0860
1770822680.0048 0.353 0.003 0.0023 -3.0847
1770822680.0091 0.354 0.003 0.0035 -3.0829
1770822680.0147 0.355 0.003 0.0023 -3.0817
1770822680.0200 0.357 0.003 0.0023 -3.0801
1770822680.0249 0.358 0.003 0.0023 -3.0791
1770822680.0300 0.359 0.003 0.0023 -3.0779
1770822680.0342 0.360 0.003 0.0023 -3.0772
1770822680.0390 0.362 0.003 0.0023 -3.0763
1770822680.0443 0.363 0.003 0.0012 -3.0758
1770822680.0492 0.364 0.003 0.0023 -3.0754
1770822680.0546 0.365 0.003 0.0023 -3.0752
1770822680.0599 0.367 0.003 0.0023 -3.0750
1770822680.0646 0.368 0.003 0.0023 -3.0751
1770822680.0691 0.369 0.003 0.0023 -3.0753
1770822680.0742 0.370 0.003 0.0023 -3.0755
1770822680.0792 0.372 0.003 0.0023 -3.0759
1770822680.0843 0.373 0.003 0.0023 -3.0762
1770822680.0891 0.374 0.003 0.0023 -3.0766
1770822680.0942 0.376 0.003 0.0023 -3.0769
1770822680.0992 0.377 0.003 0.0023 -3.0774
1770822680.1042 0.378 0.003 0.0023 -3.0778
1770822680.1091 0.379 0.003 0.0012 -3.0783
1770822680.1142 0.380 0.003 0.0012 -3.0788
1770822680.1194 0.382 0.003 0.0023 -3.0796
1770822680.1242 0.383 0.003 0.0012 -3.0801
1770822680.1294 0.384 0.003 0.0023 -3.0811
1770822680.1341 0.385 0.003 0.0023 -3.0817
1770822680.1392 0.387 0.003 0.0023 -3.0827
1770822680.1450 0.388 0.003 0.0023 -3.0834
1770822680.1502 0.389 0.003 0.0023 -3.0843
1770822680.1544 0.390 0.003 0.0023 -3.0848
1770822680.1591 0.392 0.003 0.0035 -3.0854
1770822680.1645 0.393 0.003 0.0023 -3.0857
1770822680.1693 0.394 0.003 0.0023 -3.0860
1770822680.1744 0.396 0.003 0.0023 -3.0861
1770822680.1794 0.397 0.003 0.0023 -3.0862
1770822680.1846 0.398 0.003 0.0023 -3.0862
1770822680.1898 0.399 0.003 0.0012 -3.0861
1770822680.1950 0.400 0.003 0.0012 -3.0861
1770822680.1995 0.402 0.003 0.0023 -3.0860
1770822680.2046 0.403 0.003 0.0023 -3.0859
1770822680.2094 0.404 0.003 0.0012 -3.0857
1770822680.2149 0.405 0.003 0.0023 -3.0855
1770822680.2191 0.407 0.003 0.0023 -3.0852
1770822680.2244 0.408 0.003 0.0023 -3.0851
1770822680.2297 0.409 0.003 0.0023 -3.0847
1770822680.2346 0.410 0.003 0.0023 -3.0845
1770822680.2398 0.412 0.003 0.0023 -3.0841
1770822680.2446 0.413 0.003 0.0023 -3.0837
1770822680.2492 0.414 0.003 0.0023 -3.0831
1770822680.2552 0.416 0.003 0.0023 -3.0825
1770822680.2597 0.417 0.003 0.0012 -3.0821
1770822680.2644 0.418 0.003 0.0023 -3.0814
1770822680.2697 0.419 0.003 0.0023 -3.0810
1770822680.2750 0.421 0.003 0.0012 -3.0803
1770822680.2793 0.422 0.003 0.0023 -3.0799
1770822680.2848 0.423 0.003 0.0023 -3.0792
1770822680.2902 0.424 0.003 0.0023 -3.0788
1770822680.2951 0.426 0.003 0.0023 -3.0783
1770822680.2996 0.427 0.003 0.0023 -3.0779
